0,1
49,0
335,193
520,551
178,112
49,1
1002,355
533,649
656,750
1133,477
1003,355
743,161
904,493
840,491
842,215
744,161
230,223
173,598
304,779
283,595
231,224
552,663
283,774
597,747
766,774
553,663
1002,363
948,654
1115,448
971,691
1003,363
536,41
570,186
529,215
623,167
537,41
156,679
242,802
307,803
130,731
157,679
154,689
268,794
254,795
170,690
155,689
721,313
690,376
692,363
722,340
722,313
664,41
643,160
712,84
722,105
665,41
233,723
375,798
550,755
381,798
232,724
510,323
511,390
600,435
457,374
511,323
671,49
665,160
694,155
657,136
672,49
600,751
617,751
740,775
719,772
601,751
57,0
77,119
100,218
72,99
57,1
717,246
755,271
732,295
731,247
718,246
146,592
245,625
223,697
249,616
147,592
327,367
311,447
371,408
319,444
328,367
328,82
328,178
331,194
328,132
328,83
365,573
288,604
303,595
306,601
366,573
527,220
505,301
544,336
505,302
527,221
533,35
586,104
607,156
586,105
534,35
532,33
583,82
611,157
590,95
533,33
621,270
648,308
633,309
633,271
622,270
953,545
949,618
948,601
951,592
953,546
590,0
595,42
606,31
601,60
590,1
75,0
123,50
164,105
124,51
76,0
516,66
518,121
524,177
518,122
517,66
96,517
128,572
182,605
133,574
96,518
359,282
394,314
388,327
351,326
358,282
606,0
609,38
608,18
621,7
606,1
521,758
469,777
419,792
471,776
522,758
655,60
649,111
647,162
649,112
655,61
714,81
732,127
740,175
732,127
715,81
519,398
503,401
550,401
567,408
520,398
285,209
320,216
285,217
244,219
284,209
360,281
342,314
383,329
397,308
361,281
327,73
323,116
324,161
323,116
328,74
596,0
595,33
600,9
602,36
595,1
470,544
507,550
514,547
516,547
471,544
379,291
387,293
369,312
372,320
380,291
242,351
201,369
218,404
257,384
243,351
241,352
258,381
220,404
200,372
240,352
334,361
345,364
374,390
371,379
335,361
366,283
350,304
363,291
368,289
367,283
224,358
217,381
226,376
219,371
225,358
271,606
241,637
229,670
240,639
270,607
967,696
932,711
920,714
940,708
968,696
620,286
636,297
636,298
622,287
621,286
451,0
461,33
455,1
463,33
451,1
136,691
133,726
132,703
136,720
136,692
545,263
558,268
546,278
560,283
546,263
844,444
818,471
784,497
817,473
844,445
371,566
341,575
321,583
348,573
372,566
346,377
342,395
362,398
347,383
347,377
382,152
391,176
401,196
393,181
383,152
1238,969
1210,976
1211,976
1239,969
1239,969
582,761
554,766
528,776
556,765
583,761
329,111
330,138
330,166
330,140
329,112
790,224
792,235
782,234
791,231
791,224
844,447
822,472
797,492
822,473
845,447
503,316
478,324
462,338
486,320
504,316
86,176
92,201
97,226
92,203
86,177
527,215
506,238
489,259
509,235
527,216
424,253
418,258
420,259
424,261
423,253
484,0
492,23
495,2
495,22
484,1
575,73
586,96
596,120
587,98
575,74
178,128
192,151
206,173
193,153
179,129
188,610
210,614
233,616
212,615
189,610
589,596
567,601
546,609
568,601
590,596
142,423
135,439
150,426
132,444
141,423
380,293
378,308
381,307
383,301
381,294
351,0
363,9
355,5
363,5
352,1
332,397
333,417
329,437
333,419
332,398
725,255
719,271
727,255
746,260
726,255
115,564
130,580
147,596
134,583
116,565
384,406
394,415
399,415
401,410
385,406
239,357
229,373
244,385
256,372
240,357
825,284
823,291
828,289
822,295
824,285
287,596
277,602
281,605
297,597
286,597
238,358
254,369
246,384
230,376
237,358
718,333
720,348
702,354
707,337
717,333
183,689
188,692
200,697
201,696
184,689
1036,631
1019,639
1018,643
1035,634
1037,632
241,388
227,398
222,401
235,398
240,389
216,371
210,385
214,378
214,385
215,372
1241,971
1225,975
1208,979
1223,976
1240,972
549,0
553,16
557,2
556,15
550,1
325,163
325,179
325,195
325,181
325,164
350,384
362,388
356,403
342,400
349,384
733,265
727,278
735,292
742,277
734,265
961,525
959,540
961,555
959,542
961,526
813,254
812,260
819,258
811,264
812,254
157,684
147,689
162,684
173,684
158,684
732,266
742,274
738,289
727,281
731,266
142,422
130,434
135,443
148,432
143,422
349,319
363,326
377,325
365,326
350,319
159,506
145,513
149,521
163,517
160,506
251,369
247,377
243,376
246,381
252,370
